"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-01","-6.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-02","-8.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-03","3.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-04","-3.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-05","-5.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-06","-3.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-07","-1.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-08","-1.1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-09","2.2",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-10","-3.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-11","-5.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-12","3.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-13","2.2",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-14","-7.2",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-15","-1.1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-16","1.1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-17","7.8",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-18","8.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-19","6.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-20","5.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-21","5.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-22","5.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-23","8.9",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-24","10.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-25","3.3",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-26","2.8",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-27","5.6",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-28","4.4",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-29","1.7",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-30","0.0",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01-31","-3.9",",,W"
